Order_ID,Product,Country,Channel,Order_Date,Discount_Pct,Price_per_Box,Marketing_Spend,Boxes_Shipped,Amount
ORD-081463,Mixed Assortment Box,Germany,Retail,2023-03-28,12.9,3.58,45.22,148,468.13
ORD-085587,70% Dark Bar,Australia,Retail,2023-03-08,1.7,3.44,66.12,83,303.24
ORD-116779,70% Dark Bar,Germany,Retail,2023-08-12,11.2,3.22,32.25,74,209.98
ORD-044429,Truffle Gift Box,Germany,Online,2022-04-02,20.2,3.18,75.68,120,291.06
ORD-186502,Milk Classic Bar,Australia,Retail,2022-12-01,7.9,11.36,180.35,48,466.88
ORD-125530,Mint Dark Bar,Australia,Retail,2022-08-22,15.4,2.66,157.13,276,589.96
ORD-009213,Choco Coins Bag,Australia,Retail,2023-02-26,22.2,3.17,113.01,237,579.01
ORD-047437,Hazelnut Milk Bar,Australia,Retail,2023-09-23,10.9,16.79,84.05,25,356.59
ORD-178555,Milk Classic Bar,Australia,Retail,2023-01-02,15.6,16.87,101.61,28,371.67
ORD-131573,White Choco Bar,Brazil,Wholesale,2023-04-18,22.1,13.33,54.74,79,877.45
ORD-197436,Hazelnut Milk Bar,Australia,Wholesale,2023-04-26,7.0,11.91,40.43,56,586.57
ORD-000864,Mint Dark Bar,Australia,Online,2023-01-25,10.3,3.96,81.75,99,346.89
ORD-119631,Hazelnut Milk Bar,Australia,Wholesale,2022-12-16,17.5,3.59,26.65,148,401.84
ORD-115064,Truffle Gift Box,Australia,Retail,2023-02-06,12.0,3.41,74.02,196,630.13
ORD-181422,Almond Crunch Bar,Brazil,Retail,2023-07-23,12.9,3.08,104.6,216,560.0
ORD-196006,Mixed Assortment Box,Brazil,Retail,2022-12-14,7.7,3.54,12.99,112,395.23
ORD-043278,White Choco Bar,Australia,Retail,2023-12-05,12.9,3.18,53.65,121,349.34
ORD-117000,Choco Coins Bag,Australia,Retail,2023-09-11,12.9,17.39,51.52,45,659.97
ORD-139263,Truffle Gift Box,Australia,Retail,2023-06-11,24.6,11.3,49.52,41,330.99
ORD-139800,Mint Dark Bar,Germany,Retail,2023-12-05,13.2,3.12,175.01,153,437.35
ORD-015370,Pralines Gift Box,India,Wholesale,2022-12-20,12.5,3.28,152.92,141,392.67
ORD-094434,Truffle Gift Box,Australia,Retail,2023-01-28,20.5,3.34,86.11,255,715.95
ORD-114343,70% Dark Bar,Japan,Wholesale,2022-09-02,4.3,14.86,170.98,51,726.45
ORD-161917,Almond Crunch Bar,Japan,Wholesale,2022-07-09,16.5,12.27,54.49,48,510.36
ORD-136678,Truffle Gift Box,Brazil,Retail,2022-11-18,1.8,3.37,131.83,214,735.15
ORD-023105,Mint Dark Bar,Australia,Online,2022-03-10,1.94,16.21,143.4,32,485.28
ORD-114333,Truffle Gift Box,Australia,Online,2022-12-05,1.0,18.09,45.78,28,443.42
ORD-184023,Mixed Assortment Box,Australia,Retail,2023-05-23,13.2,2.85,77.13,201,498.93
ORD-128873,Choco Coins Bag,Brazil,Wholesale,2022-02-14,22.9,3.14,108.82,394,973.98
